层次	  子女号   	数量	项目名称	标识码	状态	   子女号  	数量	  项目名称  	标识码	状态
5	          3513023-T68L0	3	管接头座－端盖	60	D	          3513023-T68L0	3	管接头座－端盖	60	D
4	        3513020-T68L1	1	贮气筒端盖总成	52	D	        3513020-T68L1	1	贮气筒端盖总成	52	D
5	          3513021-T68L1	1	贮气筒端盖	60	D	          3513021-T68L1	1	贮气筒端盖	60	D
5	          3513023-T68L1	1	管接头座－端盖	60	D	          3513023-T68L1	1	管接头座－端盖	60	D
4	        3513025-T68L0	1	贮气筒外壳总成	51	D	        3513025-T68L0	1	贮气筒外壳总成	51	D
5	          3513026-T68L0	1	贮气筒外壳	60	D	          3513026-T68L0	1	贮气筒外壳	60	D
5	          3513028-T68L0	1	管接头座－外壳	60	D	          3513028-T68L0	1	管接头座－外壳	60	D
3	      3513102-T38V0	2	支架总成-贮气筒	52	P	      3513102-T38V0	2	支架总成-贮气筒	52	P
4	        3513103-T38V0	2	支架-贮气筒	60	P	        3513103-T38V0	2	支架-贮气筒	60	P
4	        3513103-T38V1	1	支架-贮气筒	60	P	        3513103-T38V1	1	支架-贮气筒	60	P
4	        3513105-T38V0	1	支架-贮气筒	60	P	        3513105-T38V0	1	支架-贮气筒	60	P
3	      3513115-T38H0	6	芯轴	60	D	      3513115-T38H0	6	芯轴	60	D
3	      3513116-T38H0	6	芯轴	60	D	      3513116-T38H0	6	芯轴	60	D
3	      3513126-T31Z0	2	箍带-贮气筒	60	D	      3513126-T31Z0	2	箍带-贮气筒	60	D
3	      3513126-T38H0	4	箍带-贮气筒	60	D	      3513126-T38H0	4	箍带-贮气筒	60	D
3	      3513D-040	3	放水阀总成	52	D	      3513D-040	3	放水阀总成	52	D
4	        1103C-041	1	汽油箱盖链索扣环	60	D	        1103C-041	1	汽油箱盖链索扣环	60	D
4	        3513D-041	1	垫片	60	D	        3513D-041	1	垫片	60	D
4	        3513D-042	1	回位弹簧　	60	D	        3513D-042	1	回位弹簧　	60	D
4	        3513D-043	1	阀体	60	D	        3513D-043	1	阀体	60	D
4	        3513D-045	1	阀门总成	51	D	        3513D-045	1	阀门总成	51	D
5	          3513D-046	1	阀杆	60	D	          3513D-046	1	阀杆	60	D
4	        Q43015	1	孔用弹性挡圈	61	D	        Q43015	1	孔用弹性挡圈	61	D
3	      3524Z06A-010	2	取气阀总成	52	D	      3524Z06A-010	2	取气阀总成	52	D
4	        3524Z06A-011	1	取气阀罩	60	D	        3524Z06A-011	1	取气阀罩	60	D
4	        3524Z06A-020	1	取气阀本体总成	52	D	        3524Z06A-020	1	取气阀本体总成	52	D
5	          3524Z06A-021	1	取气阀本体	60	D	          3524Z06A-021	1	取气阀本体	60	D
5	          3524Z06A-022	1	垫片	60	D	          3524Z06A-022	1	垫片	60	D
5	          3524Z06A-023	1	弹簧	60	D	          3524Z06A-023	1	弹簧	60	D
5	          3524Z06A-030	1	阀杆总成	52	D	          3524Z06A-030	1	阀杆总成	52	D
6	            3524Z06A-031	1	取气阀阀杆	60	D	            3524Z06A-031	1	取气阀阀杆	60	D
6	            3524Z06A-032	1	O型圈	60	D	            3524Z06A-032	1	O型圈	60	D
5	          Q43009	1	卡圈	61	D	          Q43009	1	卡圈	61	D
3	      3543910-T38V0	1	空气干燥器合件	55	P	      3543910-T38V0	1	空气干燥器合件	55	P
4	        3543010-92100	1	空气干燥器总成	58	P	        3543010-92100	1	空气干燥器总成	58	P
4	        3543221-T38V0	1	排气软管-消音器	60	P	        3543221-T38V0	1	排气软管-消音器	60	P
4	        Q32012	3	六角法兰面螺母	61	D	        Q32012	3	六角法兰面螺母	61	D
4	        Q67240	1	双纲丝式环箍	61	D	        Q67240	1	双纲丝式环箍	61	D
4	        RQ83122N6A	4	直通快插管接头	61	P	        RQ83122N6A	4	直通快插管接头	61	P
4	        RQ83222N8A	1	弯通快插管接头	61	D	        RQ83222N8A	1	弯通快插管接头	61	D
3	      35N-06036	1	垫密圈	60	D	      35N-06036	1	垫密圈	60	D
3	      35N-06037	4	垫密圈	60	D	      35N-06037	4	垫密圈	60	D
3	      35N-06038	2	螺塞	60	D	      35N-06038	2	螺塞	60	D
3	      35Z41-06047	1	螺塞	60	D	      35Z41-06047	1	螺塞	60	D
3	      35ZB8A-06105	7	扎带	60	D	      35ZB8A-06105	7	扎带	60	D
3	      3703125-T25F0	1	蓄电池框总成	52	D	      3703125-T25F0	1	蓄电池框总成	52	D
4	        3703141-T25F0	2	蓄电池框底板	60	D	        3703141-T25F0	2	蓄电池框底板	60	D
4	        3703150-T25F0	1	蓄电池框左侧板总成	52	D	        3703150-T25F0	1	蓄电池框左侧板总成	52	D
5	          3703151-T25F0	1	蓄电池框左侧板	60	D	          3703151-T25F0	1	蓄电池框左侧板	60	D
5	          3703152-T25F0	1	蓄电池框左侧加强板	60	D	          3703152-T25F0	1	蓄电池框左侧加强板	60	D
4	        3703155-T25F0	1	蓄电池框右侧板总成	52	D	        3703155-T25F0	1	蓄电池框右侧板总成	52	D
5	          3703156-T25F0	1	蓄电池框右侧板	60	D	          3703156-T25F0	1	蓄电池框右侧板	60	D
5	          3703157-T25F0	1	蓄电池框右侧加强板	60	D	          3703157-T25F0	1	蓄电池框右侧加强板	60	D
4	        3703171-T25F0	2	蓄电池框支架	60	D	        3703171-T25F0	2	蓄电池框支架	60	D
4	        3703221-T25F0	8	蓄电池左挡板	60	D	        3703221-T25F0	8	蓄电池左挡板	60	D
4	        3703227-T25F0	1	蓄电池前挡板	60	D	        3703227-T25F0	1	蓄电池前挡板	60	D
4	        3703228-T25F0	4	蓄电池后挡板	60	D	        3703228-T25F0	4	蓄电池后挡板	60	D
4	        3703236-T25F0	1	支架-蓄电池压条	60	D	        3703236-T25F0	1	支架-蓄电池压条	60	D
4	        3703237-T25F0	1	支架-蓄电池压条	60	D	        3703237-T25F0	1	支架-蓄电池压条	60	D
4	        3703320-T25F0	2	搭扣体总成	52	D	        3703320-T25F0	2	搭扣体总成	52	D
5	          3703321-T25F0	1	搭扣体	60	D	          3703321-T25F0	1	搭扣体	60	D
5	          3703322-T25F0	1	搭扣体底座	60	D	          3703322-T25F0	1	搭扣体底座	60	D
5	          3703323-T25F0	1	搭扣体支架	60	D	          3703323-T25F0	1	搭扣体支架	60	D
5	          3703331-T25F0	1	弹簧	60	D	          3703331-T25F0	1	弹簧	60	D
5	          3703336-T25F0	1	手柄	60	D	          3703336-T25F0	1	手柄	60	D
5	          3703338-T25F0	1	安装支架-拉手	60	D	          3703338-T25F0	1	安装支架-拉手	60	D
5	          Q350B10	1	六角薄螺母	61	D	          Q350B10	1	六角薄螺母	61	D
5	          Q41010	1	内锯齿锁紧垫圈	61	D	          Q41010	1	内锯齿锁紧垫圈	61	D
5	          Q500B0430	1	开口销	61	D	          Q500B0430	1	开口销	61	D
4	        3703337-T25F0	2	压条－蓄电池罩盖	60	D	        3703337-T25F0	2	压条－蓄电池罩盖	60	D
4	        Q1841225	10	六角法兰面螺栓	61	D	        Q1841225	10	六角法兰面螺栓	61	D
4	        Q1841230	2	六角法兰面螺栓	61	D	        Q1841230	2	六角法兰面螺栓	61	D
4	        Q32012	12	六角法兰面螺母	61	D	        Q32012	12	六角法兰面螺母	61	D
3	      Q1840820	2	六角法兰面螺栓	61	S	      Q1840820	2	六角法兰面螺栓	61	S
3	      Q1841230	8	六角法兰面螺栓	61	D	      Q1841230	8	六角法兰面螺栓	61	D
3	      Q218B0860	6	内六角圆柱头螺钉	61	D	      Q218B0860	6	内六角圆柱头螺钉	61	D
3	      Q32012	3	六角法兰面螺母	61	D	      Q32012	3	六角法兰面螺母	61	D
3	      RQ83122N4A	1	直通快插管接头	61	D	      RQ83122N4A	1	直通快插管接头	61	D
3	      RQ83122N6A	2	直通快插管接头	61	P	      RQ83122N6A	2	直通快插管接头	61	P
3	      RQ83222N3A	1	弯通快插管接头	61	D	      RQ83222N3A	1	弯通快插管接头	61	D
3	      RQ83222N6A	4	弯通快插管接头	61	D	      RQ83222N6A	4	弯通快插管接头	61	D
2	    Q1841240	14	六角法兰面螺栓	61	D	    Q1841240	14	六角法兰面螺栓	61	D
2	    Q32012	10	六角法兰面螺母	61	D	    Q32012	10	六角法兰面螺母	61	D
1	  3525B-T38V0	1	管接头组	40	P	  3525B-T38V0	1	管接头组	40	P
2	    3525910-T38V0	1	管接头组工艺合件	55	P	    3525910-T38V0	1	管接头组工艺合件	55	P
3	      3506821-T01J0	1	支架	60	D	      3506821-T01J0	1	支架	60	D
3	      3525011-90001	1	管接头本体	60	D	      3525011-90001	1	管接头本体	60	D
3	      Q1840825	2	六角法兰面螺栓	61	D	      Q1840825	2	六角法兰面螺栓	61	D
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83122N7A	2	直通快插管接头	61	D	      RQ83122N7A	2	直通快插管接头	61	D
3	      RQ83216N3A	1	弯通快插管接头	61	D	      RQ83216N3A	1	弯通快插管接头	61	D
3	      RQ83216N4A	1	弯通快插管接头	61	D	      RQ83216N4A	1	弯通快插管接头	61	D
3	      RQ83216N5A	1	弯通快插管接头	61	D	      RQ83216N5A	1	弯通快插管接头	61	D
3	      RQ83616N5N5A	1	F型三通快插管接头	61	D	      RQ83616N5N5A	1	F型三通快插管接头	61	D
1	  3541A-T38V0	1	排气制动组-挂底盘	40	P	  3541A-T38V0	1	排气制动组-挂底盘	40	P
2	    3506034-T38A1	1	隔壁式直通管接头-快插接头	58	D	    3506034-T38A1	1	隔壁式直通管接头-快插接头	58	D
2	    3506801-K80H0	1	支架	60	D	    3506801-K80H0	1	支架	60	D
2	    3541070-90030	1	排气制动高温软管总成	58	D	    3541070-90030	1	排气制动高温软管总成	58	D
2	    Q1841230	1	六角法兰面螺栓	61	D	    Q1841230	1	六角法兰面螺栓	61	D
2	    Q32012	1	六角法兰面螺母	61	D	    Q32012	1	六角法兰面螺母	61	D
2	    Q351B14	1	六角薄螺母	61	D	    Q351B14	1	六角薄螺母	61	D
2	    RQ63008	1	端式管接头	61	D	    RQ63008	1	端式管接头	61	D
										
end										
